pair,type,burden
26d51bb9b7c9974b5e753fc3520ffcfa2abdbd132509a887f4a5bc5630aa05d9,del,5
26f2fa25ea0f6c5911c3bb6e831d1a0633ce4a1b295028b1d09ef01b66cec0e2,del,31
2711,del,12
2713,del,15
2719,del,11
2722,del,5
2724,del,27
2726,del,11
2744,del,17
2747cb2bda1947f81a644e04eff504ecc3bdbd1723259420fbabbb33c4d2c8c0,del,7
2756,del,12
2757,del,6
2759,del,16
2766,del,172
27766c2342c1b5fba9fda91d7f6a3fdcf78d6b96da879b820675899bfcbf146e,del,12
2789,del,56
279-23818-251R-31--279-25064N-76R-BLD,del,0
279-24744-53P-32--279-25064N-76R-BLD,del,15
279-24924-251R-32--279-25064N-76R-BLD,del,13
279-24927-53P-31--279-25064N-76R-BLD,del,7
2793,del,51
2795,del,16
27daa3627c6baf36dd6500b5ff613e3b2550b869167947f42e23ba596f66ade4,del,27
286-24358-124X-33--286-25065N-223V-BLD,del,6
286-24361-124X-36--286-25065N-223V-BLD,del,6
286-24364-152P-32--286-25065N-223V-BLD,del,4
286-24367-152P-35--286-25065N-223V-BLD,del,6
2905,del,0
2906,del,0
2907,del,0
